model,state,source_view,target_view,queries,patients,balanced_accuracy,auroc
base_scConcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,363,18,0.5177110878789742,0.5163274091384293
base_scConcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,353,19,0.4566575556423272,0.4668749186515684
base_scConcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,705,26,0.4721179427750665,0.4747906703445574
base_scConcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,436,21,0.5481735977910335,0.5774086798895517
base_scConcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,257,20,0.449230582818369,0.4784320853023143
base_scConcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,622,24,0.5053187086092715,0.5465024834437087
base_scConcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,375,19,0.5845134764732755,0.6115235267245318
base_scConcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,224,18,0.5273155288578618,0.5390859647698678
base_scConcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,530,24,0.5055031446540881,0.4974783434199596
base_scConcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,316,19,0.5469961240310077,0.5588662790697674
base_scConcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,189,18,0.4604143337066069,0.4482642777155654
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,460,23,0.6403508771929824,0.7055065409187709
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,270,19,0.6632882882882882,0.7593843843843844
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,655,25,0.6865287522129696,0.7553603042423447
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,577,25,0.6881427707199033,0.791720681012877
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,601,25,0.69645858801956,0.7746536267318664
sCITEconcept,tumor,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,471,21,0.6226780185758514,0.6629779934733495
sCITEconcept,tumor,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,445,21,0.6918330014356504,0.7682582318343907
sCITEconcept,tumor,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,381,21,0.6584874653605723,0.7431526712637752
sCITEconcept,tumor,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,417,21,0.7308588025957714,0.8324523759681809
sCITEconcept,tumor,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,115,14,0.6563192904656319,0.6807095343680709
sCITEconcept,tumor,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,109,14,0.5789909015715466,0.6277915632754343
sCITEconcept,tumor,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,97,14,0.5481744421906694,0.6424949290060852
sCITEconcept,tumor,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,105,14,0.625,0.7104377104377104
sCITEconcept,tumor,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,679,25,0.6925888221520919,0.738308052529777
sCITEconcept,tumor,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,455,23,0.7127128672120183,0.7697175490044761
sCITEconcept,tumor,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,270,19,0.6655405405405406,0.6492117117117118
sCITEconcept,tumor,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,643,25,0.702085879849699,0.7817012992892389
sCITEconcept,tumor,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,424,23,0.692627754336615,0.7461908110642288
sCITEconcept,tumor,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,250,19,0.6748118188967531,0.7007077856420627
sCITEconcept,tumor,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,617,25,0.7071056030805976,0.7431819843532939
sCITEconcept,tumor,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,406,23,0.7508490566037735,0.8181132075471698
sCITEconcept,tumor,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,235,19,0.6967836257309942,0.660701754385965
sCITEconcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,441,21,0.5744514106583072,0.6042113512621679
sCITEconcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,262,20,0.5305343511450382,0.5622632713711322
sCITEconcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,676,26,0.5065431476123484,0.5398030419663951
sCITEconcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,594,25,0.549595327876391,0.5869930102087741
sCITEconcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,601,26,0.4844468366637512,0.5106528516001705
sCITEconcept,pdl1,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,529,21,0.5691417578315674,0.589226749361128
sCITEconcept,pdl1,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,500,21,0.5920662402411068,0.6035043844883694
sCITEconcept,pdl1,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,438,21,0.5650452488687783,0.5988562091503269
sCITEconcept,pdl1,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,440,21,0.6168439385457486,0.631917231655989
sCITEconcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,434,19,0.5307281086282476,0.5622580990056667
sCITEconcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,412,19,0.5325124680840909,0.5439186770706566
sCITEconcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,363,18,0.5326086956521738,0.5619888075764099
sCITEconcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,353,19,0.5402674736431081,0.5557724847064949
sCITEconcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,705,26,0.5244870811366641,0.5564496384676906
sCITEconcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,436,21,0.5657947431654828,0.606327593111734
sCITEconcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,257,20,0.4483218223676238,0.5107233733187933
sCITEconcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,622,24,0.5839300496688742,0.6203745860927151
sCITEconcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,375,19,0.566925536774783,0.6194038373686616
sCITEconcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,224,18,0.5821495251237925,0.620099034012501
sCITEconcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,530,24,0.5227987421383647,0.5650884063130415
sCITEconcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,316,19,0.5278585271317829,0.5507105943152455
sCITEconcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,189,18,0.5240761478163494,0.5561030235162374
