model,best_depth,best_score,final_layer_score,best_minus_final,heldout_interaction_pair_auprc_lift_scaled,heldout_tissue_pair_auprc_lift_scaled,inhibitory_pair_macro_f1,coexpressive_pair_macro_f1
sCITEconcept,13,0.9023619911646912,0.857286056825253,0.0450759343394381,0.9331575477688984,0.793317088889686,0.9309939803259432,0.9645272142777964
base_scConcept,6,0.882899293750729,0.8634348866867908,0.0194644070639381,0.9459943152065408,0.72185096220055,0.9096921996822228,0.9594366197183098
