model,source_view,target_view,queries,candidate_count_mean,mrr,recall_at_1,recall_at_5,pairwise_auc
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,543,10.920810313075506,0.5486552530751425,0.3370165745856354,0.8416206261510129,0.7760430790817531
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,358,9.399441340782124,0.5902401912178449,0.388268156424581,0.8910614525139665,0.7874075102427058
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,967,12.254395036194415,0.5265330230124318,0.3309203722854188,0.7973112719751809,0.7721459209559155
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,834,11.366906474820144,0.5686633260823909,0.3741007194244604,0.8525179856115108,0.7918625406035479
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,859,12.18742724097788,0.5274407667742941,0.3224679860302678,0.8032596041909197,0.7769746147656509
base_scConcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,575,13.149565217391304,0.5106037271906837,0.3130434782608696,0.7756521739130435,0.7605239922055779
base_scConcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,543,12.502762430939226,0.5548641250298709,0.3572744014732965,0.848987108655617,0.8023331924818763
base_scConcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,469,11.688699360341152,0.5584551731140217,0.3667377398720682,0.8422174840085288,0.7921787256808579
base_scConcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,484,12.617768595041325,0.5565393399071085,0.3574380165289256,0.8409090909090909,0.8014008517882485
base_scConcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,403,13.74937965260546,0.481117917098066,0.2903225806451613,0.749379652605459,0.7433039280251366
base_scConcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,388,13.079896907216495,0.4476807102337727,0.2525773195876288,0.7139175257731959,0.6971649598127766
base_scConcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,367,12.46866485013624,0.4732825530509454,0.2615803814713896,0.776566757493188,0.7526026766149382
base_scConcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,329,13.164133738601825,0.4369791513788474,0.2310030395136778,0.7051671732522796,0.7111629758286293
base_scConcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,967,12.773526370217166,0.5255015570636958,0.3350568769389865,0.7921406411582212,0.7753646498650757
base_scConcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,510,10.949019607843136,0.5934460582989995,0.3980392156862745,0.8725490196078431,0.8110182192535135
base_scConcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,343,9.384839650145771,0.5290731781985426,0.3206997084548105,0.8513119533527697,0.7270754755448633
base_scConcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,854,12.824355971896956,0.533494091778635,0.3360655737704918,0.8091334894613583,0.7863366602707421
base_scConcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,453,10.98896247240618,0.55589902493876,0.3487858719646799,0.8520971302428256,0.7870324549132497
base_scConcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,340,9.43529411764706,0.540479797979798,0.3176470588235294,0.8852941176470588,0.7587434869052515
base_scConcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,862,12.68677494199536,0.5323520511455546,0.3364269141531322,0.7946635730858469,0.7799587180558246
base_scConcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,458,10.995633187772926,0.5933736872055649,0.4017467248908297,0.87117903930131,0.8067716914332634
base_scConcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,298,9.187919463087248,0.5276569627240768,0.3053691275167785,0.8489932885906041,0.7334035464907949
sCITEconcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,543,10.920810313075506,0.5342812906348817,0.3167587476979742,0.8305709023941068,0.7676293013309589
sCITEconcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,358,9.399441340782124,0.5850615089441905,0.38268156424581,0.8854748603351955,0.7794114482661968
sCITEconcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,967,12.254395036194415,0.6009365294221429,0.4105480868665977,0.8697001034126164,0.8297225073694141
sCITEconcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,834,11.366906474820144,0.6181489007927857,0.4280575539568345,0.8884892086330936,0.8320638810297084
sCITEconcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,859,12.18742724097788,0.5888736409108936,0.3934807916181606,0.8626309662398137,0.8218813152311406
sCITEconcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,575,13.149565217391304,0.4914289116680421,0.2904347826086956,0.7721739130434783,0.7499231322811886
sCITEconcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,543,12.502762430939226,0.5946866720347384,0.4014732965009208,0.858195211786372,0.8260817030560287
sCITEconcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,469,11.688699360341152,0.5663903734266208,0.373134328358209,0.8592750533049041,0.7996655559555347
