model,source_view,target_view,queries,classes,accuracy,macro_f1,balanced_accuracy
sCITEconcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,553,6,0.6600361663652803,0.645141375274264,0.6586112676604162
sCITEconcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,518,6,0.7084942084942085,0.697806273239146,0.7095568722598
sCITEconcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,475,6,0.6947368421052632,0.696473471403818,0.7068709398653077
sCITEconcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,455,5,0.4901098901098901,0.4538286900904825,0.4860996403918112
sCITEconcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,960,7,0.5729166666666666,0.5690349858707743,0.5751718610629729
sCITEconcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,554,6,0.6624548736462094,0.582223934396818,0.6667177978390794
sCITEconcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,387,6,0.6666666666666666,0.5545665565206271,0.687906292267347
sCITEconcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,942,7,0.5700636942675159,0.5648768463725976,0.5735513845011334
sCITEconcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,541,6,0.609981515711645,0.5367035365717265,0.6113815385703439
sCITEconcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,374,6,0.6764705882352942,0.5920241700229194,0.7039869169729589
sCITEconcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,855,6,0.5356725146198831,0.5353321261923272,0.5335966339903976
sCITEconcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,483,5,0.6625258799171843,0.5898797246654169,0.6611826460561341
sCITEconcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,337,5,0.6142433234421365,0.5335877215235919,0.6369111185946885
