epoch,seconds,train_loss,validation_loss,validation_rna_top1,validation_adt_top1,validation_rna_adt_cosine,logit_scale
1,442.361,3.451991292484248,3.3062646740772683,0.4410250908771499,0.2092505942297275,0.27446328255246805,18.523523330688477
2,418.928,3.1725886257473594,3.1289001645580417,0.47683515820291733,0.234257074343341,0.2883547883077871,18.539945602416992
3,428.469,3.0574639351419695,3.0179879079099563,0.493651594050595,0.25515922494843357,0.3134371638036509,18.565082550048828
4,473.455,2.97705327401064,3.0797516947886985,0.4921798269401808,0.25574029084356104,0.29511316332337423,18.590709686279297
5,455.746,2.9398040476049196,3.0727153645187126,0.4970523407224749,0.2450379818433621,0.30724058313112557,18.624277114868164
6,445.268,2.911344169392653,2.94705012729091,0.49894538527775195,0.275012414962534,0.3243429288518626,18.65266227722168
7,479.008,2.85948907825505,3.1229492634061784,0.47415142139745137,0.2468037773219366,0.31445748313323946,18.689245223999023
8,438.216,2.8558579542905322,2.8638926446437836,0.5100824480255445,0.28828071753184,0.3344111323105982,18.722551345825195
9,444.959,2.8121549902576426,2.8446040173045923,0.5288996075997587,0.27960960542569396,0.3337406976721982,18.762239456176758
10,445.743,2.8025602252337496,3.053614616394043,0.4433548194506476,0.2748526831668231,0.3315741760442618,18.80957794189453
11,433.385,2.767094925329562,2.979454261357667,0.4914066635194372,0.26255475509850706,0.3243877090857207,18.8551082611084
12,426.448,2.7565619865709112,3.014630819520643,0.48227661187129633,0.2728305030313711,0.33179554178704224,18.89422607421875
13,427.064,2.732129553768308,2.9373955130577087,0.5090976122526392,0.2762824033176707,0.33140812186677826,18.937969207763672
14,437.838,2.7064501889766075,2.8450710634390513,0.5257888873418172,0.28875901487966377,0.3444041941285448,18.985767364501953
15,437.721,2.693286266080841,2.8851864020029705,0.5369687000910441,0.290424707531929,0.3381986343318962,19.032081604003906
16,444.763,2.666405982410487,2.903084041642361,0.5315990411355848,0.28264897130429745,0.34317855516314527,19.0887393951416
17,435.821,2.6593507297612633,2.9400232145863194,0.48786389292968857,0.2847940983070481,0.3487958001530897,19.141664505004883
18,437.951,2.644447245062354,2.9406894906874625,0.49274026049721625,0.28802438092327887,0.34958302958302384,19.197175979614258
19,437.139,2.6397780587140103,2.936331340524017,0.5099617820538458,0.28046101985163374,0.3478981819054293,19.249361038208008
20,438.722,2.6455366937263918,2.923970015322576,0.5190897384872202,0.2769479828840885,0.34627194641121006,19.3012752532959
21,444.745,2.6026676255195884,2.936460602478903,0.5356571547320632,0.2735403610057518,0.33525594483790777,19.360334396362305
22,446.518,2.595771812374708,2.9429404716643077,0.5056924389468299,0.28108885754195473,0.3411978752557883,19.42414665222168
23,447.221,2.594759724618114,2.951987344121176,0.49445707889066803,0.2859478220639248,0.3571907062292023,19.475332260131836
24,442.939,2.567528321891426,2.992725245288161,0.5071917523126133,0.2752951323741772,0.34434625447601047,19.535057067871094
25,440.439,2.5858092083634134,2.9131024587349814,0.49356958221216674,0.29983896624724393,0.3572346680343167,19.585044860839844
26,432.195,2.567048991638726,2.8483953554122174,0.5428252890706062,0.2884134801684833,0.3511674524205295,19.641931533813477
27,440.891,2.5572502500034573,2.925240667661031,0.513639090458552,0.28094497447212535,0.35296008140417606,19.69930076599121
28,440.354,2.5551861719811026,2.8849332890202923,0.5353853256712037,0.2780328925338484,0.3440110286134441,19.751169204711914
29,436.525,2.524739068984346,2.936651364449532,0.4949284554609368,0.2850056615688147,0.35586768752740877,19.812047958374023
30,438.707,2.517846502383603,2.906387980779012,0.5246978496511777,0.2828174768636624,0.3456800271388636,19.86054801940918
31,436.454,2.528169966821043,2.8078954219818115,0.5118729190015402,0.3081889327493359,0.3650866626663106,19.918119430541992
32,437.541,2.5147779681482114,2.8784994136902595,0.4890801150111421,0.3001637154769513,0.3613372732284375,19.971858978271484
